"","fre_yield","GCM","Zone","RCP","Ratio"
"2",42,"CanESM2","Low Rainfall Zone","4.5","1_1.2"
"3",976,"CanESM2","Low Rainfall Zone","4.5","1.2_1.5"
"4",358,"CanESM2","Low Rainfall Zone","4.5","1.5_1.7"
"5",7,"CanESM2","Low Rainfall Zone","4.5","1.7_2"
"6",0,"CanESM2","Low Rainfall Zone","4.5","2_2.2"
"8",42,"GFDL-ESM2G","Low Rainfall Zone","4.5","1_1.2"
"9",1237,"GFDL-ESM2G","Low Rainfall Zone","4.5","1.2_1.5"
"10",105,"GFDL-ESM2G","Low Rainfall Zone","4.5","1.5_1.7"
"11",0,"GFDL-ESM2G","Low Rainfall Zone","4.5","1.7_2"
"12",0,"GFDL-ESM2G","Low Rainfall Zone","4.5","2_2.2"
"14",321,"inmcm4","Low Rainfall Zone","4.5","1_1.2"
"15",988,"inmcm4","Low Rainfall Zone","4.5","1.2_1.5"
"16",57,"inmcm4","Low Rainfall Zone","4.5","1.5_1.7"
"17",0,"inmcm4","Low Rainfall Zone","4.5","1.7_2"
"18",0,"inmcm4","Low Rainfall Zone","4.5","2_2.2"
"20",1,"CanESM2","Low Rainfall Zone","8.5","1_1.2"
"21",54,"CanESM2","Low Rainfall Zone","8.5","1.2_1.5"
"22",406,"CanESM2","Low Rainfall Zone","8.5","1.5_1.7"
"23",795,"CanESM2","Low Rainfall Zone","8.5","1.7_2"
"24",128,"CanESM2","Low Rainfall Zone","8.5","2_2.2"
"26",5,"GFDL-ESM2G","Low Rainfall Zone","8.5","1_1.2"
"27",503,"GFDL-ESM2G","Low Rainfall Zone","8.5","1.2_1.5"
"28",835,"GFDL-ESM2G","Low Rainfall Zone","8.5","1.5_1.7"
"29",41,"GFDL-ESM2G","Low Rainfall Zone","8.5","1.7_2"
"30",0,"GFDL-ESM2G","Low Rainfall Zone","8.5","2_2.2"
"32",0,"inmcm4","Low Rainfall Zone","8.5","1_1.2"
"33",107,"inmcm4","Low Rainfall Zone","8.5","1.2_1.5"
"34",750,"inmcm4","Low Rainfall Zone","8.5","1.5_1.7"
"35",521,"inmcm4","Low Rainfall Zone","8.5","1.7_2"
"36",6,"inmcm4","Low Rainfall Zone","8.5","2_2.2"
